time_us,y_g,time_ms
665019,0.0351,665.019
667521,0.0273,667.521
670003,0.0507,670.003
672502,0.0702,672.502
675014,0.2574,675.014
677519,0.2769,677.519
680002,0.1014,680.002
682525,-0.0117,682.525
685024,-0.0819,685.024
687526,0.5889,687.526
690010,-1.1115,690.01
692507,-0.0663,692.507
695022,0.0507,695.022
697523,0.1872,697.523
700005,0.0078,700.005
702505,0.0429,702.505
705017,0.039,705.017
707510,0.0585,707.51
710020,0.0351,710.02
712508,0.0312,712.508
715010,0.039,715.01
717516,0.078,717.516
720011,0.0624,720.011
722526,0.0273,722.526
725008,0.0429,725.008
727511,0.0468,727.511
730022,0.0351,730.022
732518,0.0468,732.518
735020,0.0585,735.02
737522,0.0429,737.522
740001,0.0351,740.001
742525,0.039,742.525
745015,0.0429,745.015
747517,0.0351,747.517
750012,0.0351,750.012
752507,0.0429,752.507
755023,0.039,755.023
757524,0.0468,757.524
760005,0.0351,760.005
762526,0.039,762.526
765014,0.0429,765.014
767515,0.0429,767.515
770023,0.039,770.023
772520,0.0546,772.52
775020,0.0468,775.02
777525,0.0507,777.525
780009,0.0507,780.009
782507,0.0468,782.507
785018,0.0351,785.018
787520,0.0507,787.52
790002,0.0546,790.002
792525,0.0468,792.525
795012,0.0546,795.012
797517,0.0546,797.517
800027,0.0468,800.027
802526,0.0429,802.526
805018,0.0468,805.018
807520,0.0468,807.52
810003,0.0507,810.003
812511,0.0468,812.511
815001,0.0429,815.001
817511,0.0429,817.511
820003,0.1287,820.003
822517,0.3939,822.517
825011,1.6302,825.011
827513,0.5382,827.513
830022,-0.2418,830.022
832518,0.4017,832.518
835013,-0.1131,835.013
837517,0.1326,837.517
840026,0.039,840.026
842521,-0.0078,842.521
845020,0.0312,845.02
847524,0.0273,847.524
850009,0.078,850.009
852505,0.0,852.505
855022,0.0,855.022
857524,0.0312,857.524
860010,0.0429,860.01
862506,0.0741,862.506
865018,0.0273,865.018
867521,0.1248,867.521
870003,0.3276,870.003
872500,0.1482,872.5
875019,-0.0273,875.019
877523,-0.0039,877.523
880007,-0.39,880.007
882507,-0.0819,882.507
885014,0.1326,885.014
887515,0.1638,887.515
890024,-0.078,890.024
892519,0.0234,892.519
895013,0.0273,895.013
897513,0.0546,897.513
900027,0.0663,900.027
902524,0.0156,902.524
905011,0.0078,905.011
907511,0.0663,907.511
910020,0.0507,910.02
912500,0.0351,912.5
915003,0.039,915.003
917511,0.0195,917.511
920004,0.0273,920.004
922514,0.0429,922.514
925008,0.0585,925.008
927512,0.0507,927.512
930020,0.039,930.02
932518,0.0312,932.518
935012,0.0429,935.012
937514,0.0429,937.514
940023,0.0351,940.023
942521,0.0351,942.521
945019,0.039,945.019
947511,0.039,947.511
950019,0.0429,950.019
952514,0.0312,952.514
955021,0.0312,955.021
957524,0.0429,957.524
960008,0.0507,960.008
962505,0.0507,962.505
965020,0.0507,965.02
967522,0.0468,967.522
970005,0.0507,970.005
972503,0.0585,972.503
975020,0.0468,975.02
977525,0.0468,977.525
980009,0.0507,980.009
982505,0.0546,982.505
985017,0.0507,985.017
987517,0.0546,987.517
990026,0.0429,990.026
992523,0.0507,992.523
995012,0.0546,995.012
997516,0.0507,997.516
1000001,0.078,1000.001
1002500,-1.833,1002.5
1005012,-0.5928,1005.012
1007513,0.0858,1007.513
1010024,-0.0741,1010.024
1012524,0.3744,1012.524
1015005,-0.078,1015.005
1017506,0.1521,1017.506
1020002,0.0312,1020.002
1022515,-0.0078,1022.515
1025024,0.0195,1025.024
1027505,0.0507,1027.505
1030013,0.0195,1030.013
1032507,0.039,1032.507
1035013,0.0429,1035.013
1037516,0.0741,1037.516
1040024,0.0546,1040.024
1042521,0.0468,1042.521
1045013,0.273,1045.013
1047517,0.3666,1047.517
1050025,0.0312,1050.025
1052520,0.0429,1052.52
1055016,0.0429,1055.016
1057521,-1.0686,1057.521
1060003,-0.1248,1060.003
1062502,0.3198,1062.502
1065010,0.1794,1065.01
1067512,0.078,1067.512
1070021,0.0234,1070.021
1072516,0.0429,1072.516
1075018,0.0897,1075.018
1077509,0.0546,1077.509
1080017,0.0234,1080.017
1082513,0.0312,1082.513
1085013,0.0429,1085.013
1087515,0.0546,1087.515
1090025,0.0468,1090.025
1092523,0.039,1092.523
1095018,0.039,1095.018
1097520,0.0195,1097.52
1100002,0.0429,1100.002
1102503,0.0507,1102.503
1105017,0.0429,1105.017
1107518,0.0273,1107.518
1110027,0.0429,1110.027
1112508,0.0468,1112.508
1115024,0.0429,1115.024
1117518,0.0351,1117.518
1120016,0.0351,1120.016
1122504,0.039,1122.504
1125023,0.0468,1125.023
1127505,0.0429,1127.505
1130013,0.0351,1130.013
1132508,0.0312,1132.508
1135012,0.0468,1135.012
1137513,0.0429,1137.513
1140022,0.0429,1140.022
1142519,0.0351,1142.519
1145017,0.0585,1145.017
1147521,0.0585,1147.521
1150000,0.0507,1150.0
1152522,0.0429,1152.522
1155018,0.0507,1155.018
1157520,0.0507,1157.52
1160004,0.0546,1160.004
1162501,0.0624,1162.501
1165017,0.0507,1165.017
1167520,0.0507,1167.52
1170001,0.0585,1170.001
1172524,0.0507,1172.524
1175011,0.0546,1175.011
1177514,0.0507,1177.514
1180021,0.0507,1180.021
1182520,0.0507,1182.52
1185014,0.0546,1185.014
1187516,-0.6669,1187.516
1190025,-4.797,1190.025
1192520,2.9367,1192.52
1195012,-0.6708,1195.012
1197513,-0.0039,1197.513
1200022,0.0351,1200.022
1202519,-0.0624,1202.519
1205017,-0.0624,1205.017
1207517,-0.0585,1207.517
1210002,0.1326,1210.002
1212512,0.0312,1212.512
1215024,0.0507,1215.024
1217526,0.0117,1217.526
1220007,0.0117,1220.007
1222650,0.0663,1222.65
1225019,0.0351,1225.019
1227508,0.0819,1227.508
1230017,0.0507,1230.017
1232514,0.1014,1232.514
1235010,0.3237,1235.01
1237515,0.5304,1237.515
1240022,-0.2574,1240.022
1242518,-0.6903,1242.518
1245018,-0.2457,1245.018
1247524,0.234,1247.524
1250004,0.1755,1250.004
1252502,0.0273,1252.502
1255012,-0.0195,1255.012
1257514,-0.0195,1257.514
1260022,0.0,1260.022
1262519,0.0819,1262.519
1265012,0.117,1265.012
1267512,0.0234,1267.512
1270020,-0.0195,1270.02
1272517,0.0156,1272.517
1275012,0.0585,1275.012
1277512,0.0507,1277.512
1280021,0.039,1280.021
1282516,0.0156,1282.516
1285023,0.0195,1285.023
1287522,0.0507,1287.522
1290007,0.0507,1290.007
1292504,0.039,1292.504
1295019,0.0234,1295.019
1297522,0.0195,1297.522
1300004,0.039,1300.004
1302503,0.039,1302.503
1305018,0.0351,1305.018
1307519,0.0312,1307.519
1310000,0.039,1310.0
1312512,0.0468,1312.512
1315024,0.0468,1315.024
1317525,0.0351,1317.525
1320025,0.0429,1320.025
1322508,0.0585,1322.508
1325023,0.0507,1325.023
1327505,0.0546,1327.505
1330013,0.0507,1330.013
1332507,0.0546,1332.507
1335018,0.0624,1335.018
1337516,0.0624,1337.516
1340012,0.0546,1340.012
1342506,0.0585,1342.506
1345001,0.0546,1345.001
1347502,0.0507,1347.502
1350011,0.0507,1350.011
1352505,0.0468,1352.505
1355019,0.0429,1355.019
1357519,0.0507,1357.519
1360001,0.0507,1360.001
1362524,0.0429,1362.524
1365012,0.0507,1365.012
1367514,0.0546,1367.514
1370023,1.1895,1370.023
1372520,-5.7018,1372.52
1375017,2.4648,1375.017
1377525,-0.5694,1377.525
1380009,-0.0156,1380.009
1382504,-0.0507,1382.504
1385015,0.0117,1385.015
1387517,-0.1014,1387.517
1390009,-0.0234,1390.009
1392510,0.1053,1392.51
1395017,0.0117,1395.017
1397516,0.0468,1397.516
1400025,0.0468,1400.025
1402523,0.0312,1402.523
1405002,0.0624,1405.002
1407505,0.0156,1407.505
1410015,0.0702,1410.015
1412518,0.1521,1412.518
1415025,0.6162,1415.025
1417524,0.6084,1417.524
1420026,0.0429,1420.026
1422510,-0.4407,1422.51
1425022,-0.6864,1425.022
1427524,0.2886,1427.524
1430003,0.2496,1430.003
1432523,-0.0195,1432.523
1435014,0.0741,1435.014
1437518,0.0507,1437.518
1440023,0.078,1440.023
1442519,0.1053,1442.519
1445018,0.0234,1445.018
1447524,-0.0039,1447.524
1450005,0.039,1450.005
1452500,0.0546,1452.5
1455020,0.0351,1455.02
1457520,0.0273,1457.52
1460000,0.0273,1460.0
1462522,0.0156,1462.522
1465018,0.0312,1465.018
1467520,0.0312,1467.52
1470004,0.0429,1470.004
1472505,0.0429,1472.505
1475027,0.039,1475.027
1477504,0.0273,1477.504
1480016,0.0351,1480.016
1482513,0.039,1482.513
1485012,0.0312,1485.012
1487516,0.0312,1487.516
1490024,0.0312,1490.024
1492521,0.039,1492.521
1495019,0.0468,1495.019
1497520,0.0351,1497.52
