time_us,y_g,time_ms
14240,0.0546,14.24
15301,0.0429,15.301
16313,0.0429,16.313
17347,0.0585,17.347
18368,0.0585,18.368
19396,0.0585,19.396
20408,0.0663,20.408
21426,0.0663,21.426
22443,0.0819,22.443
23455,0.0819,23.455
25017,0.078,25.017
27500,0.0702,27.5
30021,0.0663,30.021
32513,0.0429,32.513
35021,0.0507,35.021
37502,0.0624,37.502
40023,0.0624,40.023
42515,0.0624,42.515
45022,0.0663,45.022
47524,0.0624,47.524
50006,0.0624,50.006
52505,0.0663,52.505
55014,0.0585,55.014
57522,0.0663,57.522
60011,0.0624,60.011
62510,0.0624,62.51
65008,0.0702,65.008
67517,0.0624,67.517
70008,0.0702,70.008
72501,0.0663,72.501
75006,0.0741,75.006
77512,0.0741,77.512
80005,0.0741,80.005
82500,0.078,82.5
85007,0.0663,85.007
87503,0.0702,87.503
90012,0.078,90.012
92505,0.0663,92.505
95014,0.0663,95.014
97502,0.0663,97.502
100026,0.0663,100.026
102505,0.0702,102.505
105024,0.0663,105.024
107512,0.0663,107.512
110021,0.0624,110.021
112506,0.0624,112.506
115002,0.0585,115.002
117520,0.0624,117.52
120012,0.0702,120.012
122506,0.0663,122.506
125014,0.0663,125.014
127523,0.0663,127.523
130017,0.0624,130.017
132517,0.0663,132.517
135026,0.0624,135.026
137505,0.0663,137.505
140022,0.0624,140.022
142500,0.0702,142.5
145006,0.0585,145.006
147514,0.0741,147.514
150018,0.0741,150.018
152518,0.0663,152.518
155003,0.0624,155.003
157508,0.0663,157.508
160011,0.0624,160.011
162510,0.0546,162.51
165008,0.0624,165.008
167514,0.0663,167.514
170013,0.0663,170.013
172503,0.0702,172.503
175011,0.0624,175.011
177519,0.078,177.519
180014,0.0819,180.014
182510,0.0663,182.51
185016,0.0663,185.016
187500,0.0585,187.5
190001,0.0663,190.001
192515,0.078,192.515
195026,0.0858,195.026
197503,0.0741,197.503
200000,0.0663,200.0
202520,0.0468,202.52
205007,0.0468,205.007
207522,0.0546,207.522
210018,0.0741,210.018
212501,0.0858,212.501
215009,0.0858,215.009
217502,0.078,217.502
220023,0.0507,220.023
222515,0.039,222.515
225024,0.0507,225.024
227505,0.0624,227.505
230024,0.0819,230.024
232517,0.0819,232.517
235025,0.0819,235.025
237504,0.0702,237.504
240022,0.0468,240.022
242515,0.0468,242.515
245022,0.0468,245.022
247504,0.0663,247.504
250026,0.0858,250.026
252523,0.0741,252.523
255003,0.0663,255.003
257509,0.0546,257.509
260000,0.0546,260.0
262524,0.0468,262.524
265014,0.0546,265.014
267523,0.0663,267.523
270020,0.0702,270.02
272513,0.0702,272.513
275019,0.0663,275.019
277500,0.0702,277.5
280024,0.0624,280.024
282516,0.0624,282.516
285025,0.078,285.025
287504,0.0741,287.504
290022,0.0741,290.022
292503,0.078,292.503
295005,0.0585,295.005
297504,0.0702,297.504
300001,0.0702,300.001
302520,0.0702,302.52
305009,0.0663,305.009
307519,0.0741,307.519
310021,0.0702,310.021
312522,0.0741,312.522
315002,0.0702,315.002
317521,0.0663,317.521
320011,0.0624,320.011
322501,0.0585,322.501
325009,0.0663,325.009
327517,0.0741,327.517
330008,0.0819,330.008
332501,0.0741,332.501
335009,0.0624,335.009
337514,0.0546,337.514
340005,0.0429,340.005
342526,0.0585,342.526
345005,0.0702,345.005
347510,0.078,347.51
350026,0.0858,350.026
352523,0.0741,352.523
355004,0.0507,355.004
357512,0.0273,357.512
360006,0.039,360.006
362507,0.0585,362.507
365026,0.0819,365.026
367504,0.078,367.504
370001,0.078,370.001
372522,0.0663,372.522
375003,0.0429,375.003
377523,0.039,377.523
380015,0.0546,380.015
382507,0.0741,382.507
385017,0.0858,385.017
387525,0.0897,387.525
390019,0.0663,390.019
392514,0.0468,392.514
395018,0.0546,395.018
397509,0.0624,397.509
400010,0.0741,400.01
402515,0.0897,402.515
405003,0.0663,405.003
407513,0.0624,407.513
410019,0.0624,410.019
412505,0.0585,412.505
415014,0.0624,415.014
417503,0.0663,417.503
420025,0.0819,420.025
422516,0.0819,422.516
425024,0.0624,425.024
427506,0.0624,427.506
430025,0.0663,430.025
432518,0.0546,432.518
435000,0.0546,435.0
437504,0.0702,437.504
440022,0.0702,440.022
442506,0.0702,442.506
445014,0.0702,445.014
447518,0.0663,447.518
450009,0.0702,450.009
452506,0.0741,452.506
455017,0.0663,455.017
457524,0.0624,457.524
460014,0.0663,460.014
462512,0.0663,462.512
465007,0.0741,465.007
467512,0.0663,467.512
470008,0.0702,470.008
472500,0.0702,472.5
475005,0.0624,475.005
477512,0.0624,477.512
480003,0.0624,480.003
482524,0.0741,482.524
485005,0.0624,485.005
487509,0.0702,487.509
490027,0.078,490.027
492521,0.0624,492.521
495003,0.0741,495.003
497523,0.0702,497.523
500007,0.0663,500.007
502514,0.0585,502.514
505001,0.078,505.001
507521,0.0741,507.521
510000,0.0741,510.0
512511,0.0624,512.511
515020,0.0663,515.02
517513,0.0624,517.513
520005,0.0624,520.005
522500,0.0702,522.5
525008,0.0819,525.008
527519,0.0819,527.519
530010,0.0624,530.01
532502,0.0507,532.502
535009,0.0663,535.009
537515,0.0663,537.515
540004,0.078,540.004
542500,0.0741,542.5
545005,0.0624,545.005
547509,0.0468,547.509
550000,0.0702,550.0
552524,0.0702,552.524
555006,0.0702,555.006
557513,0.0546,557.513
560004,0.0507,560.004
562506,0.0585,562.506
565024,0.0624,565.024
567504,0.078,567.504
570000,0.0702,570.0
572519,0.0702,572.519
575012,0.0507,575.012
577524,0.0468,577.524
580018,0.0585,580.018
582511,0.0702,582.511
585019,0.0624,585.019
587525,0.0741,587.525
590018,0.0741,590.018
592510,0.0546,592.51
595015,0.0507,595.015
597523,0.0624,597.523
600022,0.0624,600.022
602510,0.0897,602.51
605003,0.0936,605.003
607502,0.0429,607.502
610009,0.0468,610.009
612521,0.0312,612.521
615002,0.0663,615.002
617521,0.1131,617.521
620010,0.1209,620.01
622501,0.0897,622.501
625006,0.0507,625.006
627516,0.0234,627.516
630007,0.0312,630.007
632501,0.1014,632.501
635006,0.0936,635.006
637508,0.1365,637.508
640004,0.0975,640.004
642500,0.0312,642.5
645009,0.0039,645.009
647519,0.078,647.519
650015,0.0468,650.015
652510,0.0897,652.51
655019,0.0858,655.019
657524,0.0897,657.524
660019,0.0546,660.019
662518,0.0429,662.518
665010,0.0273,665.01
667518,0.0663,667.518
670016,0.0429,670.016
672508,0.0624,672.508
675015,0.1014,675.015
677524,0.0858,677.524
680016,0.0429,680.016
682509,0.039,682.509
685015,0.0507,685.015
687521,0.0663,687.521
690012,0.0624,690.012
692505,0.0897,692.505
695011,0.0897,695.011
697517,0.0897,697.517
700008,0.0546,700.008
702506,0.0546,702.506
705018,0.0585,705.018
707521,0.0624,707.521
710003,0.0663,710.003
712513,0.039,712.513
715022,0.0585,715.022
717512,0.0858,717.512
720005,0.1014,720.005
722526,0.078,722.526
725005,0.0663,725.005
727515,0.0351,727.515
730006,0.0585,730.006
732500,0.0312,732.5
735008,0.0624,735.008
737514,0.0858,737.514
740005,0.0936,740.005
742526,0.0546,742.526
745003,0.0741,745.003
