time_us,y_g,time_ms
14674,0.0624,14.674
16029,0.0624,16.029
17102,0.0624,17.102
18114,0.0702,18.114
19123,0.0702,19.123
20132,0.0624,20.132
21142,0.0624,21.142
22153,0.0624,22.153
23162,0.0663,23.162
24173,0.0663,24.173
25250,0.0702,25.25
27518,0.0624,27.518
30002,0.0624,30.002
32507,0.0663,32.507
35012,0.0663,35.012
37522,0.0663,37.522
40010,0.0624,40.01
42526,0.0663,42.526
45001,0.0585,45.001
47504,0.0663,47.504
50018,0.0663,50.018
52507,0.0702,52.507
55009,0.0624,55.009
57507,0.0702,57.507
60006,0.0663,60.006
62510,0.0585,62.51
65016,0.0702,65.016
67520,0.0663,67.52
70010,0.0624,70.01
72526,0.0663,72.526
75001,0.0702,75.001
77503,0.0663,77.503
80017,0.0702,80.017
82506,0.0702,82.506
85010,0.0663,85.01
87513,0.078,87.513
90000,0.0624,90.0
92515,0.0663,92.515
95019,0.0663,95.019
97519,0.0624,97.519
100010,0.0585,100.01
102526,0.0663,102.526
105003,0.0624,105.003
107508,0.0663,107.508
110021,0.0663,110.021
112514,0.0663,112.514
115026,0.0663,115.026
117504,0.0702,117.504
120016,0.0663,120.016
122505,0.0624,122.505
125016,0.0624,125.016
127506,0.0663,127.506
130019,0.0546,130.019
132508,0.0702,132.508
135011,0.0624,135.011
137517,0.0585,137.517
140003,0.0585,140.003
142520,0.0624,142.52
145022,0.0741,145.022
147521,0.0702,147.521
150009,0.0663,150.009
152526,0.0585,152.526
155004,0.0702,155.004
157992,0.0624,157.992
160003,0.0624,160.003
162504,0.0624,162.504
165016,0.0663,165.016
167517,0.0702,167.517
170011,0.0702,170.011
172501,0.0819,172.501
175005,0.0624,175.005
177507,0.0624,177.507
180021,0.0858,180.021
182513,0.078,182.513
185016,0.0663,185.016
187523,0.0741,187.523
190011,0.0663,190.011
192501,0.0702,192.501
195003,0.0663,195.003
197504,0.0624,197.504
200018,0.0663,200.018
202508,0.0585,202.508
205012,0.0702,205.012
207517,0.0741,207.517
210002,0.0624,210.002
212523,0.0702,212.523
215012,0.0663,215.012
217518,0.0585,217.518
220003,0.0585,220.003
222518,0.0663,222.518
225004,0.0546,225.004
227521,0.0663,227.521
230018,0.0663,230.018
232513,0.0624,232.513
235017,0.0624,235.017
237500,0.0702,237.5
240013,0.0702,240.013
242503,0.0585,242.503
245008,0.0585,245.008
247509,0.0663,247.509
250022,0.0663,250.022
252510,0.0663,252.51
255015,0.0624,255.015
257517,0.0663,257.517
