timestamp,ax,ay,az,label,trial_id
110367,0.015600,0.023400,0.908700,idle,1
110387,0.015600,0.019500,0.912600,idle,1
110407,0.011700,0.023400,0.916500,idle,1
110427,0.011700,0.023400,0.908700,idle,1
110447,0.015600,0.023400,0.908700,idle,1
110467,0.007800,0.019500,0.912600,idle,1
110487,0.015600,0.015600,0.904800,idle,1
110507,0.019500,0.019500,0.908700,idle,1
110527,0.011700,0.019500,0.908700,idle,1
110547,0.015600,0.015600,0.912600,idle,1
110567,0.011700,0.019500,0.912600,idle,1
110587,0.007800,0.027300,0.928200,idle,1
110607,0.007800,0.019500,0.924300,idle,1
110627,0.023400,0.035100,0.900900,idle,1
110647,0.031200,0.011700,0.893100,idle,1
110667,0.031200,0.011700,0.889200,idle,1
110687,0.003900,0.003900,0.897000,idle,1
110707,0.003900,0.046800,0.920400,idle,1
110727,0.011700,0.015600,0.939900,idle,1
110747,0.019500,0.027300,0.889200,idle,1
110767,0.015600,0.011700,0.908700,idle,1
110787,0.011700,0.007800,0.916500,idle,1
110807,0.023400,0.023400,0.908700,idle,1
110827,0.027300,0.015600,0.904800,idle,1
110847,0.023400,0.027300,0.904800,idle,1
110867,0.003900,0.027300,0.916500,idle,1
110887,0.015600,0.027300,0.916500,idle,1
110907,0.015600,0.011700,0.900900,idle,1
110927,0.011700,0.011700,0.904800,idle,1
110947,0.011700,0.003900,0.904800,idle,1
110967,0.011700,0.019500,0.912600,idle,1
110987,0.015600,0.023400,0.904800,idle,1
111007,0.023400,0.027300,0.912600,idle,1
111027,0.015600,0.027300,0.912600,idle,1
111047,0.011700,0.023400,0.904800,idle,1
111067,0.011700,0.015600,0.904800,idle,1
111087,0.015600,0.011700,0.908700,idle,1
111107,0.011700,0.015600,0.904800,idle,1
111127,0.015600,0.015600,0.912600,idle,1
111147,0.011700,0.027300,0.912600,idle,1
111167,0.015600,0.023400,0.912600,idle,1
111187,0.011700,0.023400,0.908700,idle,1
111207,0.019500,0.019500,0.900900,idle,1
111227,0.015600,0.015600,0.904800,idle,1
111247,0.015600,0.015600,0.904800,idle,1
111268,0.011700,0.015600,0.908700,idle,1
111287,0.007800,0.019500,0.912600,idle,1
111307,0.011700,0.019500,0.912600,idle,1
111327,0.015600,0.015600,0.908700,idle,1
111347,0.019500,0.027300,0.912600,idle,1
