timestamp,ax,ay,az,label,trial_id
100244,0.019500,0.054600,0.912600,tap1,1
100262,0.019500,0.058500,0.912600,tap1,1
100280,0.019500,0.050700,0.912600,tap1,1
100299,0.019500,0.062400,0.908700,tap1,1
100317,0.019500,0.054600,0.912600,tap1,1
100335,0.015600,0.054600,0.908700,tap1,1
100353,0.023400,0.054600,0.912600,tap1,1
100371,0.023400,0.050700,0.912600,tap1,1
100390,0.023400,0.054600,0.908700,tap1,1
100408,-0.678600,0.027300,1.677000,tap1,1
100427,0.023400,0.054600,0.971100,tap1,1
100446,0.023400,0.058500,0.967200,tap1,1
100467,0.019500,0.054600,0.955500,tap1,1
100487,0.019500,0.054600,0.951600,tap1,1
100507,0.019500,0.050700,0.947700,tap1,1
100526,0.019500,0.054600,0.939900,tap1,1
100547,0.019500,0.058500,0.943800,tap1,1
100567,0.019500,0.058500,0.936000,tap1,1
100587,0.023400,0.054600,0.936000,tap1,1
100607,0.019500,0.054600,0.932100,tap1,1
100627,0.019500,0.054600,0.932100,tap1,1
100647,0.019500,0.058500,0.932100,tap1,1
100667,0.019500,0.058500,0.932100,tap1,1
100687,0.019500,0.054600,0.932100,tap1,1
100707,0.019500,0.054600,0.924300,tap1,1
100727,0.023400,0.058500,0.928200,tap1,1
100747,0.019500,0.054600,0.920400,tap1,1
100766,0.019500,0.054600,0.924300,tap1,1
100787,0.019500,0.054600,0.928200,tap1,1
100807,0.027300,0.050700,0.928200,tap1,1
100827,0.019500,0.058500,0.920400,tap1,1
100847,0.023400,0.058500,0.928200,tap1,1
100867,0.019500,0.058500,0.924300,tap1,1
100887,0.019500,0.058500,0.916500,tap1,1
100907,0.019500,0.050700,0.928200,tap1,1
100927,0.023400,0.054600,0.920400,tap1,1
100947,0.019500,0.058500,0.916500,tap1,1
100967,0.019500,0.058500,0.924300,tap1,1
100987,0.023400,0.054600,0.920400,tap1,1
101007,0.015600,0.058500,0.920400,tap1,1
101027,0.023400,0.054600,0.920400,tap1,1
101047,0.019500,0.058500,0.924300,tap1,1
101067,0.019500,0.058500,0.924300,tap1,1
101087,0.019500,0.058500,0.920400,tap1,1
101106,0.023400,0.054600,0.924300,tap1,1
101127,0.019500,0.058500,0.920400,tap1,1
101147,0.023400,0.054600,0.920400,tap1,1
101167,0.019500,0.054600,0.920400,tap1,1
101188,0.023400,0.058500,0.920400,tap1,1
101208,0.019500,0.054600,0.916500,tap1,1
101227,0.019500,0.058500,0.916500,tap1,1
101247,0.019500,0.058500,0.920400,tap1,1
101267,0.019500,0.054600,0.920400,tap1,1
101287,0.015600,0.054600,0.920400,tap1,1
101307,0.019500,0.054600,0.916500,tap1,1
101327,0.019500,0.058500,0.916500,tap1,1
101347,0.019500,0.058500,0.920400,tap1,1
101367,0.019500,0.054600,0.916500,tap1,1
101387,0.019500,0.058500,0.920400,tap1,1
101407,0.019500,0.058500,0.916500,tap1,1
101427,0.019500,0.058500,0.920400,tap1,1
101447,0.019500,0.054600,0.920400,tap1,1
101467,0.019500,0.054600,0.912600,tap1,1
101487,0.019500,0.050700,0.916500,tap1,1
101507,0.019500,0.054600,0.916500,tap1,1
101527,0.019500,0.054600,0.920400,tap1,1
101546,0.015600,0.054600,0.920400,tap1,1
101567,0.023400,0.054600,0.920400,tap1,1
101587,0.019500,0.054600,0.916500,tap1,1
101607,0.023400,0.054600,0.916500,tap1,1
101627,0.023400,0.054600,0.916500,tap1,1
101647,0.019500,0.054600,0.916500,tap1,1
101667,0.019500,0.058500,0.908700,tap1,1
101687,0.015600,0.058500,0.916500,tap1,1
101707,0.019500,0.058500,0.916500,tap1,1
