time_us,x_g,y_g,z_g,time_ms
362521,0.0312,0.0468,0.9009,362.521
365007,0.0234,0.0546,0.9087,365.007
367519,0.0234,0.0546,0.9048,367.519
370009,0.0351,0.0468,0.9048,370.009
372502,0.0351,0.0468,0.9048,372.502
375011,0.0273,0.0429,0.9009,375.011
377515,0.0273,0.0546,0.897,377.515
380017,0.0312,0.0507,0.9204,380.017
382501,0.0273,0.0468,0.9048,382.501
385011,0.0273,0.0546,0.9009,385.011
387507,0.0273,0.0546,0.9126,387.507
390003,0.0351,0.0507,0.9165,390.003
392538,0.039,0.0468,0.9126,392.538
395016,0.0312,0.0429,0.9165,395.016
397529,0.0312,0.0507,0.9126,397.529
400017,0.0351,0.0468,0.9087,400.017
402522,0.0273,0.0546,0.9126,402.522
405008,0.0195,0.0507,0.9126,405.008
407533,0.039,0.0546,0.9126,407.533
410018,0.0468,0.0468,0.9165,410.018
412525,0.0273,0.0546,0.9126,412.525
415007,0.0312,0.0507,0.9087,415.007
417519,0.0234,0.0546,0.9048,417.519
420012,0.0312,0.0546,0.9087,420.012
422503,0.0351,0.0468,0.9087,422.503
425003,0.0273,0.0429,0.9048,425.003
427502,0.0351,0.0507,0.9009,427.502
430008,0.0273,0.0468,0.9009,430.008
432504,0.0273,0.0468,0.9048,432.504
435018,0.0234,0.0468,0.9009,435.018
437745,0.0234,0.0507,0.9048,437.745
440008,0.0273,0.0468,0.9048,440.008
442527,0.0351,0.0429,0.9048,442.527
445006,0.0273,0.0507,0.9165,445.006
447520,0.039,0.0429,0.9048,447.52
450015,0.0273,0.0507,0.9126,450.015
452503,0.0312,0.0546,0.9009,452.503
455017,0.0312,0.0468,0.9165,455.017
457520,0.0234,0.0546,0.9087,457.52
460012,0.0312,0.0507,0.9126,460.012
462517,0.0351,0.0468,0.9048,462.517
465013,0.0312,0.0468,0.9204,465.013
467527,0.0234,0.0585,0.9087,467.527
470015,0.0312,0.0468,0.9087,470.015
472527,0.0234,0.0546,0.9087,472.527
475008,0.0312,0.0546,0.9165,475.008
477518,0.0273,0.0468,0.9087,477.518
480011,0.0312,0.0429,0.9165,480.011
482539,0.0234,0.0546,0.9087,482.539
485021,0.0234,0.0546,0.9087,485.021
487502,0.0312,0.0507,0.9243,487.502
490014,0.0312,0.0546,0.9087,490.014
492521,0.039,0.0429,0.9087,492.521
495000,0.0312,0.0507,0.9165,495.0
497506,0.0351,0.0507,0.9048,497.506
500015,0.0351,0.0507,0.9048,500.015
502520,0.0351,0.0546,0.9204,502.52
505015,0.0351,0.0429,0.9204,505.015
507529,0.0312,0.0624,0.9126,507.529
510009,0.039,0.0546,0.9204,510.009
512517,0.0234,0.0507,0.8931,512.517
515013,0.0273,0.0429,0.9087,515.013
517533,0.0273,0.0507,0.9126,517.533
520003,0.0312,0.0585,0.9165,520.003
