time_us,x_g,y_g,z_g,time_ms,cue_time_us
317517,0.0312,0.0507,0.9126,317.517,500000
320022,0.0351,0.0507,0.9126,320.022,500000
322524,0.0312,0.0546,0.975,322.524,500000
325021,0.0351,0.0468,0.9087,325.021,500000
328005,0.0312,0.0546,0.9087,328.005,500000
330029,0.0234,0.0507,0.9048,330.029,500000
332503,0.0312,0.0546,0.9126,332.503,500000
335021,0.0351,0.0507,0.9087,335.021,500000
337527,0.0273,0.0507,0.9087,337.527,500000
340003,0.039,0.0468,0.9087,340.003,500000
342500,0.0312,0.0507,0.9087,342.5,500000
345002,0.0312,0.0546,0.9087,345.002,500000
347506,0.0312,0.0585,0.9087,347.506,500000
350008,0.039,0.0507,0.9126,350.008,500000
352504,0.0351,0.0546,0.9126,352.504,500000
355030,0.0351,0.0546,0.9126,355.03,500000
357507,0.0273,0.0507,0.9204,357.507,500000
360014,0.0273,0.0546,0.9126,360.014,500000
362509,0.0351,0.0546,0.9126,362.509,500000
365025,0.0312,0.0507,0.9204,365.025,500000
367528,0.039,0.0429,0.9126,367.528,500000
370010,0.0351,0.039,0.9087,370.01,500000
372513,0.0351,0.0546,0.9243,372.513,500000
375026,0.0312,0.0546,0.8931,375.026,500000
377505,0.0234,0.0507,0.9165,377.505,500000
380025,0.0351,0.0507,0.9126,380.025,500000
382516,0.0429,0.0429,0.9204,382.516,500000
385014,0.0351,0.0468,0.9087,385.014,500000
387519,0.0312,0.0546,0.9126,387.519,500000
390021,0.0312,0.0507,0.9126,390.021,500000
392523,0.0429,0.0468,0.9165,392.523,500000
395025,0.0351,0.0468,0.9126,395.025,500000
397502,0.0351,0.0546,0.9165,397.502,500000
400005,0.0429,0.0507,0.9165,400.005,500000
402505,0.0312,0.0546,0.9048,402.505,500000
405030,0.0273,0.0507,0.9126,405.03,500000
407509,0.0351,0.0546,0.9087,407.509,500000
410011,0.0312,0.0507,0.9126,410.011,500000
412512,0.0312,0.0585,0.9087,412.512,500000
415027,0.0351,0.0507,0.9165,415.027,500000
417529,0.0351,0.0507,0.9126,417.529,500000
420000,0.0351,0.0468,0.9204,420.0,500000
422503,0.0312,0.0546,0.9009,422.503,500000
425027,0.0234,0.0507,0.9087,425.027,500000
427505,0.0312,0.0546,0.9048,427.505,500000
430332,0.0273,0.0507,0.9126,430.332,500000
432513,0.0351,0.0429,0.9165,432.513,500000
435014,0.0312,0.0468,0.9126,435.014,500000
437523,0.0312,0.0507,0.9048,437.523,500000
440030,0.0351,0.0507,0.9165,440.03,500000
442512,0.0312,0.0624,0.9126,442.512,500000
445027,0.0351,0.0507,0.9087,445.027,500000
447504,0.0312,0.0663,0.9165,447.504,500000
450011,0.0273,0.0507,0.9087,450.011,500000
452511,0.039,0.0507,0.9087,452.511,500000
455008,0.0429,0.0429,0.9126,455.008,500000
457517,0.0312,0.0546,0.9087,457.517,500000
460019,0.0351,0.0507,0.9126,460.019,500000
462517,0.0351,0.0468,0.9009,462.517,500000
465001,0.0351,0.0468,0.9009,465.001,500000
467508,0.0312,0.0507,0.9165,467.508,500000
470017,0.0312,0.0507,0.9204,470.017,500000
472519,0.039,0.0468,0.9126,472.519,500000
475017,0.039,0.0351,0.9165,475.017,500000
477517,0.039,0.0507,0.9087,477.517,500000
480006,0.0312,0.0546,0.9126,480.006,500000
482528,0.0351,0.0624,0.9087,482.528,500000
485005,0.039,0.0624,0.9126,485.005,500000
487509,0.0429,0.0468,0.9165,487.509,500000
490013,0.0312,0.0468,0.9165,490.013,500000
492516,0.0312,0.0585,0.9048,492.516,500000
495023,0.0351,0.0468,0.9126,495.023,500000
497525,0.0156,0.0585,0.9048,497.525,500000
500029,0.0351,0.0468,0.9087,500.029,500000
510624,0.0351,0.0468,0.9087,510.624,500000
511029,0.0351,0.0468,0.9087,511.029,500000
511433,0.0351,0.0624,0.9087,511.433,500000
511848,0.0351,0.0624,0.9087,511.848,500000
512528,0.0351,0.0624,0.9087,512.528,500000
515023,0.0312,0.0624,0.9087,515.023,500000
517502,0.0273,0.0585,0.9126,517.502,500000
520004,0.0312,0.0507,0.9204,520.004,500000
522505,0.0351,0.0507,0.9165,522.505,500000
525024,0.039,0.0507,0.9048,525.024,500000
527526,0.0234,0.0546,0.9126,527.526,500000
530002,0.0273,0.0468,0.9048,530.002,500000
532872,0.0234,0.0507,0.9126,532.872,500000
535001,0.0351,0.039,0.9126,535.001,500000
537501,0.0273,0.0468,0.9087,537.501,500000
540008,0.0273,0.0468,0.897,540.008,500000
542504,0.0312,0.0507,0.9165,542.504,500000
545024,0.0273,0.0585,0.9048,545.024,500000
547528,0.0429,0.0507,0.9087,547.528,500000
550005,0.0351,0.0546,0.9087,550.005,500000
552506,0.0351,0.0624,0.9204,552.506,500000
555028,0.0312,0.0546,0.9126,555.028,500000
557506,0.0273,0.0546,0.9165,557.506,500000
560013,0.0351,0.0585,0.9126,560.013,500000
562516,0.0273,0.0585,0.9126,562.516,500000
565028,0.0351,0.0468,0.9087,565.028,500000
567504,0.0273,0.0546,0.9009,567.504,500000
570021,0.0312,0.0507,0.9126,570.021,500000
572509,0.0234,0.0507,0.9087,572.509,500000
575010,0.0234,0.0507,0.9087,575.01,500000
577515,0.0273,0.0546,0.9165,577.515,500000
580004,0.039,0.0546,0.9048,580.004,500000
582525,0.0312,0.0507,0.9243,582.525,500000
585013,0.0273,0.0585,0.9165,585.013,500000
587523,0.0234,0.0546,0.9126,587.523,500000
590025,0.039,0.0468,0.9204,590.025,500000
592525,0.039,0.0585,0.9087,592.525,500000
595026,0.0234,0.0546,0.9048,595.026,500000
597500,0.0312,0.0468,0.9204,597.5,500000
600006,0.0312,0.0507,0.9009,600.006,500000
602503,0.0234,0.0585,0.9009,602.503,500000
605003,0.0273,0.0468,0.9126,605.003,500000
607507,0.0312,0.0468,0.9165,607.507,500000
610009,0.0429,0.0507,0.9048,610.009,500000
612504,0.0273,0.0507,0.9009,612.504,500000
615030,0.0351,0.0507,0.9165,615.03,500000
617503,0.0351,0.0507,0.9165,617.503,500000
620006,0.0312,0.0507,0.9048,620.006,500000
622502,0.0312,0.0468,0.9126,622.502,500000
625027,0.0351,0.0468,0.9087,625.027,500000
627501,0.0312,0.0507,0.9048,627.501,500000
630007,0.0312,0.0585,0.9126,630.007,500000
632504,0.0351,0.0468,0.9165,632.504,500000
635158,0.0273,0.0507,0.9204,635.158,500000
637504,0.0351,0.0507,0.9087,637.504,500000
640011,0.0351,0.0546,0.9087,640.011,500000
642510,0.0312,0.0546,0.9087,642.51,500000
645022,0.0312,0.0546,0.9087,645.022,500000
647501,0.0273,0.0585,0.9165,647.501,500000
650003,0.0273,0.0546,0.9048,650.003,500000
652503,0.0312,0.0546,0.9048,652.503,500000
655003,0.0312,0.0507,0.9165,655.003,500000
657506,0.0273,0.0468,0.9165,657.506,500000
660008,0.0273,0.0507,0.9126,660.008,500000
662503,0.0312,0.0507,0.9087,662.503,500000
665028,0.0273,0.0546,0.9126,665.028,500000
667506,0.0351,0.0585,0.9165,667.506,500000
670015,0.0273,0.0624,0.9126,670.015,500000
672517,0.0312,0.0585,0.9165,672.517,500000
675013,0.0273,0.0507,0.9048,675.013,500000
677505,0.039,0.0468,0.9087,677.505,500000
680026,0.039,0.0468,0.9087,680.026,500000
682519,0.0273,0.0585,0.9126,682.519,500000
685011,0.0273,0.0585,0.9126,685.011,500000
687518,0.0234,0.0624,0.9048,687.518,500000
690022,0.0273,0.0585,0.9126,690.022,500000
692519,0.0273,0.0585,0.9204,692.519,500000
695026,0.0312,0.0585,0.9087,695.026,500000
697506,0.0312,0.0546,0.9126,697.506,500000
700008,0.0234,0.0585,0.9165,700.008,500000
702517,0.0273,0.0585,0.9048,702.517,500000
705008,0.0351,0.0585,0.9165,705.008,500000
707512,0.0351,0.0546,0.9165,707.512,500000
710014,0.0273,0.0546,0.9165,710.014,500000
712515,0.0351,0.0468,0.9126,712.515,500000
715028,0.0351,0.0546,0.9087,715.028,500000
717501,0.0312,0.0507,0.9204,717.501,500000
720003,0.0351,0.0468,0.9204,720.003,500000
722529,0.0273,0.0468,0.9243,722.529,500000
725024,0.0273,0.0585,0.9126,725.024,500000
727503,0.039,0.0507,0.9087,727.503,500000
730008,0.0351,0.0507,0.9126,730.008,500000
732502,0.0195,0.0546,0.9243,732.502,500000
735024,0.0312,0.0507,0.9087,735.024,500000
737552,0.0273,0.0468,0.9009,737.552,500000
740012,0.0312,0.0507,0.9165,740.012,500000
742514,0.0234,0.0507,0.9126,742.514,500000
745016,0.039,0.0468,0.9126,745.016,500000
747519,0.0234,0.0507,0.9126,747.519,500000
750022,0.039,0.0429,0.9048,750.022,500000
752519,0.0273,0.0546,0.9087,752.519,500000
755028,0.0273,0.0507,0.9126,755.028,500000
757506,0.0312,0.0546,0.9087,757.506,500000
760010,0.0312,0.0468,0.9126,760.01,500000
762510,0.039,0.0546,0.9009,762.51,500000
765029,0.0273,0.0585,0.9165,765.029,500000
767503,0.0351,0.0546,0.9087,767.503,500000
770028,0.0273,0.0507,0.9087,770.028,500000
772507,0.0351,0.0468,0.9009,772.507,500000
775025,0.039,0.0507,0.9087,775.025,500000
777528,0.0351,0.0546,0.9048,777.528,500000
780020,0.0351,0.0507,0.9048,780.02,500000
782513,0.0312,0.0507,0.9087,782.513,500000
785005,0.0351,0.0507,0.9048,785.005,500000
787509,0.039,0.0507,0.9087,787.509,500000
790011,0.039,0.0507,0.9087,790.011,500000
792513,0.0351,0.0507,0.897,792.513,500000
795022,0.0312,0.0507,0.9087,795.022,500000
797502,0.0351,0.0507,0.9087,797.502,500000
800005,0.0429,0.0546,0.9165,800.005,500000
802501,0.039,0.0507,0.9126,802.501,500000
805021,0.0312,0.0507,0.9087,805.021,500000
807500,0.039,0.0585,0.9165,807.5,500000
810007,0.0312,0.0546,0.9243,810.007,500000
812508,0.0273,0.0585,0.9126,812.508,500000
815022,0.0273,0.0702,0.9126,815.022,500000
817503,0.0429,0.0585,0.9048,817.503,500000
820013,0.0312,0.0507,0.9165,820.013,500000
822509,0.0312,0.0546,0.9009,822.509,500000
825026,0.0312,0.0429,0.9126,825.026,500000
827500,0.0273,0.0585,0.9126,827.5,500000
830010,0.0312,0.0585,0.9126,830.01,500000
832514,0.0273,0.0546,0.9165,832.514,500000
835008,0.0078,0.0507,0.9243,835.008,500000
837522,0.0273,0.0468,0.9126,837.522,500000
840015,0.039,0.0468,0.9165,840.015,500000
842522,0.0312,0.0468,0.9126,842.522,500000
845030,0.0273,0.0468,0.9126,845.03,500000
847509,0.0234,0.0624,0.9087,847.509,500000
850011,0.0273,0.0546,0.9126,850.011,500000
852506,0.0273,0.0546,0.9048,852.506,500000
855007,0.0351,0.0507,0.9126,855.007,500000
857510,0.0351,0.0468,0.9087,857.51,500000
860012,0.0312,0.0468,0.9048,860.012,500000
862514,0.0273,0.0546,0.9087,862.514,500000
865024,0.0312,0.0585,0.9126,865.024,500000
867525,0.0351,0.0468,0.9048,867.525,500000
870003,0.0234,0.0507,0.9048,870.003,500000
872503,0.0312,0.0507,0.9126,872.503,500000
875018,0.0351,0.0507,0.9009,875.018,500000
877518,0.0312,0.0507,0.9087,877.518,500000
880008,0.0312,0.0585,0.9087,880.008,500000
882506,0.0351,0.0546,0.9087,882.506,500000
