time_us,x_g,y_g,z_g,time_ms
13252,0.0351,0.0468,0.9087,13.252
14306,0.0351,0.0468,0.9087,14.306
15316,0.0351,0.0585,0.9165,15.316
16333,0.0351,0.0585,0.9165,16.333
17350,0.0273,0.0585,0.9126,17.35
18375,0.0273,0.0585,0.9126,18.375
19393,0.0273,0.0585,0.9126,19.393
20417,0.0312,0.0702,0.9048,20.417
21439,0.0312,0.0702,0.9048,21.439
22505,0.0351,0.0507,0.9204,22.505
25025,0.0273,0.0468,0.9204,25.025
27521,0.0351,0.0507,0.9204,27.521
30006,0.0312,0.0468,0.9126,30.006
32518,0.0312,0.0468,0.9009,32.518
35003,0.0312,0.0507,0.9126,35.003
37511,0.039,0.0468,0.9126,37.511
40021,0.0351,0.0429,0.9126,40.021
42525,0.0351,0.0429,0.9126,42.525
45019,0.0312,0.0429,0.9048,45.019
47510,0.0351,0.0507,0.897,47.51
50022,0.0312,0.0468,0.9165,50.022
52520,0.0273,0.0507,0.9165,52.52
55006,0.039,0.0429,0.9126,55.006
57518,0.039,0.0507,0.9126,57.518
60006,0.0351,0.0546,0.9087,60.006
62519,0.0351,0.0546,0.9048,62.519
65014,0.0351,0.0429,0.9087,65.014
67505,0.0234,0.0624,0.9126,67.505
70016,0.0312,0.0468,0.9009,70.016
72502,0.0351,0.0507,0.9087,72.502
75023,0.0429,0.0468,0.9126,75.023
77521,0.0273,0.0624,0.9126,77.521
80009,0.039,0.0468,0.9126,80.009
82521,0.039,0.0546,0.9126,82.521
85009,0.0312,0.0585,0.9087,85.009
87521,0.0312,0.0546,0.9126,87.521
90007,0.0273,0.0507,0.9087,90.007
92519,0.0351,0.0429,0.9165,92.519
95009,0.039,0.039,0.9087,95.009
97522,0.0273,0.0507,0.9126,97.522
100011,0.0312,0.0585,0.9126,100.011
102522,0.0273,0.0585,0.9126,102.522
105011,0.0351,0.0624,0.9243,105.011
107510,0.0312,0.0546,0.9087,107.51
110021,0.0273,0.0507,0.9048,110.021
112501,0.0234,0.0507,0.9087,112.501
115021,0.0312,0.0429,0.9126,115.021
117500,0.0312,0.0468,0.9087,117.5
120023,0.0351,0.0507,0.9087,120.023
122522,0.0351,0.0546,0.9165,122.522
125011,0.0351,0.0507,0.9165,125.011
127522,0.039,0.0507,0.9087,127.522
130009,0.0351,0.0546,0.9126,130.009
132521,0.0312,0.0507,0.9126,132.521
135008,0.0312,0.0546,0.9087,135.008
137519,0.0312,0.0507,0.9048,137.519
140006,0.039,0.0468,0.9087,140.006
142515,0.0234,0.0507,0.9009,142.515
145000,0.0312,0.0468,0.9048,145.0
147520,0.0312,0.0546,0.9126,147.52
150006,0.0273,0.0507,0.9009,150.006
152518,0.0273,0.0468,0.9048,152.518
155004,0.0273,0.0468,0.9048,155.004
157518,0.0351,0.0507,0.9126,157.518
160003,0.0312,0.0468,0.9087,160.003
162525,0.0351,0.0546,0.9087,162.525
165003,0.0234,0.0546,0.9165,165.003
167578,0.0351,0.0507,0.9048,167.578
170011,0.0312,0.0546,0.9165,170.011
172518,0.039,0.0546,0.9087,172.518
175005,0.0312,0.0585,0.9087,175.005
177519,0.039,0.0585,0.9048,177.519
180005,0.0312,0.0585,0.9126,180.005
182514,0.0351,0.0468,0.9126,182.514
185007,0.0312,0.0507,0.9165,185.007
187516,0.0351,0.0624,0.9165,187.516
190005,0.0351,0.0507,0.9048,190.005
192516,0.0273,0.0546,0.9204,192.516
195009,0.0312,0.0585,0.9087,195.009
197523,0.0351,0.0546,0.9126,197.523
200009,0.0351,0.0468,0.9204,200.009
202521,0.039,0.0429,0.9087,202.521
205007,0.0312,0.0585,0.897,205.007
207519,0.0351,0.0468,0.9165,207.519
210003,0.039,0.0507,0.9126,210.003
212524,0.0312,0.0468,0.9087,212.524
215010,0.0234,0.0585,0.897,215.01
217522,0.039,0.0507,0.9126,217.522
220009,0.0351,0.0429,0.9048,220.009
222524,0.0351,0.0507,0.9048,222.524
225010,0.0273,0.0546,0.9087,225.01
227521,0.039,0.0468,0.9165,227.521
230007,0.039,0.0429,0.9165,230.007
232519,0.0312,0.039,0.9126,232.519
235008,0.0312,0.0468,0.9087,235.008
237526,0.0312,0.0507,0.9165,237.526
240014,0.0312,0.0507,0.9087,240.014
