time_us,x_g,y_g,z_g,time_ms
13703,0.0351,0.0429,0.9087,13.703
14149,0.0351,0.0429,0.9087,14.149
14550,0.0351,0.0429,0.9087,14.55
14941,0.0234,0.0585,0.9204,14.941
15337,0.0234,0.0585,0.9204,15.337
15735,0.0234,0.0585,0.9204,15.735
16122,0.0234,0.0585,0.9204,16.122
17508,0.0234,0.0546,0.9165,17.508
20007,0.0312,0.0546,0.9048,20.007
22515,0.0273,0.0546,0.9126,22.515
25026,0.0273,0.0585,0.9126,25.026
27501,0.0273,0.0507,0.8931,27.501
30004,0.0273,0.0507,0.8931,30.004
32533,0.0273,0.0507,0.9126,32.533
35014,0.0429,0.0507,0.9204,35.014
37523,0.0312,0.0546,0.9048,37.523
40002,0.0273,0.0468,0.9165,40.002
42515,0.0312,0.0507,0.9165,42.515
45026,0.0273,0.0468,0.9165,45.026
47524,0.0312,0.0507,0.9048,47.524
50024,0.0429,0.039,0.9048,50.024
52502,0.0312,0.0507,0.9087,52.502
55022,0.039,0.0507,0.9009,55.022
57532,0.0273,0.0546,0.9165,57.532
60027,0.0273,0.0507,0.9165,60.027
62514,0.0351,0.0507,0.9126,62.514
65010,0.0312,0.0546,0.9165,65.01
67511,0.039,0.0585,0.9126,67.511
70000,0.0273,0.0507,0.9048,70.0
72506,0.0312,0.0507,0.9126,72.506
75018,0.0351,0.0546,0.9009,75.018
77510,0.0273,0.0507,0.9048,77.51
80006,0.0351,0.0507,0.9204,80.006
82521,0.0273,0.0585,0.9126,82.521
85002,0.0273,0.0507,0.9165,85.002
87504,0.0273,0.0546,0.9126,87.504
90012,0.0351,0.0468,0.9048,90.012
92532,0.0351,0.0507,0.9165,92.532
95025,0.0312,0.0546,0.9165,95.025
97531,0.0312,0.0585,0.9126,97.531
100001,0.0234,0.0546,0.9204,100.001
102525,0.0273,0.0507,0.9087,102.525
105020,0.0273,0.0546,0.9126,105.02
107514,0.0351,0.0507,0.9126,107.514
110003,0.0273,0.0507,0.9165,110.003
112525,0.0312,0.0546,0.9165,112.525
115015,0.0195,0.0507,0.9165,115.015
117534,0.0234,0.0507,0.9126,117.534
120022,0.0312,0.0546,0.9126,120.022
122517,0.0312,0.0507,0.9126,122.517
