timestamp,ax,ay,az,label,trial_id
211535,0.019500,0.011700,0.912600,shake_lr,5
211552,0.019500,0.015600,0.916500,shake_lr,5
211568,0.023400,0.015600,0.912600,shake_lr,5
211585,0.015600,0.015600,0.916500,shake_lr,5
211601,0.019500,0.011700,0.912600,shake_lr,5
211618,0.023400,0.011700,0.908700,shake_lr,5
211634,0.023400,0.035100,0.869700,shake_lr,5
211651,0.050700,0.039000,0.912600,shake_lr,5
211667,0.011700,-0.031200,0.916500,shake_lr,5
211684,-0.273000,-0.604500,0.939900,shake_lr,5
211703,0.054600,0.085800,0.920400,shake_lr,5
211723,0.136500,0.191100,0.924300,shake_lr,5
211743,0.128700,0.612300,0.908700,shake_lr,5
211763,-0.015600,0.210600,0.963300,shake_lr,5
211783,-0.081900,0.171600,0.889200,shake_lr,5
211803,-0.003900,0.198900,0.904800,shake_lr,5
211823,0.054600,0.066300,0.920400,shake_lr,5
211843,-0.019500,-0.237900,0.955500,shake_lr,5
211863,0.011700,-0.171600,0.900900,shake_lr,5
211883,0.015600,-0.300300,0.889200,shake_lr,5
211903,-0.054600,-0.382200,0.920400,shake_lr,5
211923,-0.074100,-0.393900,0.916500,shake_lr,5
211943,-0.011700,-0.253500,0.920400,shake_lr,5
211963,0.031200,-0.530400,0.916500,shake_lr,5
211983,-0.066300,-0.183300,0.908700,shake_lr,5
212003,-0.109200,-0.159900,0.889200,shake_lr,5
212024,-0.015600,-0.167700,0.912600,shake_lr,5
212043,-0.031200,-0.124800,0.877500,shake_lr,5
212063,0.031200,0.035100,0.904800,shake_lr,5
212083,0.105300,0.234000,0.943800,shake_lr,5
212103,0.097500,0.351000,0.900900,shake_lr,5
212124,0.007800,0.230100,0.900900,shake_lr,5
212143,0.042900,0.405600,0.955500,shake_lr,5
212163,0.234000,0.401700,0.912600,shake_lr,5
212183,0.066300,0.549900,0.943800,shake_lr,5
212203,0.039000,0.507000,0.904800,shake_lr,5
212224,0.074100,0.179400,0.904800,shake_lr,5
212243,0.085800,0.183300,0.885300,shake_lr,5
212263,0.074100,0.058500,0.912600,shake_lr,5
212283,0.097500,0.035100,0.900900,shake_lr,5
212303,0.046800,-0.023400,0.869700,shake_lr,5
212323,0.039000,-0.214500,0.932100,shake_lr,5
212343,-0.019500,-0.191100,0.924300,shake_lr,5
212363,-0.109200,-0.148200,0.936000,shake_lr,5
212383,-0.046800,-0.206700,0.928200,shake_lr,5
212403,-0.035100,-0.156000,0.951600,shake_lr,5
212423,0.011700,-0.362700,0.916500,shake_lr,5
212443,-0.031200,-0.070200,0.912600,shake_lr,5
212463,0.035100,0.031200,0.873600,shake_lr,5
212483,0.023400,0.039000,0.908700,shake_lr,5
