timestamp,ax,ay,az,label,trial_id
311819,0.015600,0.019500,0.916500,idle,1
311840,0.011700,0.023400,0.904800,idle,1
311860,0.015600,0.019500,0.912600,idle,1
311879,0.015600,0.019500,0.912600,idle,1
311899,0.015600,0.023400,0.908700,idle,1
311919,0.015600,0.019500,0.912600,idle,1
311939,0.019500,0.023400,0.912600,idle,1
311960,0.015600,0.019500,0.908700,idle,1
311979,0.015600,0.023400,0.908700,idle,1
311999,0.015600,0.019500,0.904800,idle,1
312019,0.015600,0.023400,0.908700,idle,1
312039,0.015600,0.019500,0.904800,idle,1
312060,0.015600,0.019500,0.908700,idle,1
312079,0.015600,0.023400,0.908700,idle,1
312099,0.015600,0.019500,0.908700,idle,1
312119,0.015600,0.019500,0.908700,idle,1
312139,0.019500,0.023400,0.908700,idle,1
312160,0.019500,0.023400,0.912600,idle,1
312179,0.019500,0.023400,0.908700,idle,1
312199,0.015600,0.023400,0.908700,idle,1
312219,0.019500,0.015600,0.908700,idle,1
312239,0.015600,0.023400,0.908700,idle,1
312261,0.015600,0.023400,0.908700,idle,1
312280,0.011700,0.019500,0.908700,idle,1
312299,0.019500,0.023400,0.908700,idle,1
312319,0.015600,0.015600,0.908700,idle,1
312340,0.015600,0.019500,0.908700,idle,1
312360,0.015600,0.019500,0.908700,idle,1
312379,0.015600,0.023400,0.908700,idle,1
312399,0.015600,0.023400,0.908700,idle,1
312419,0.015600,0.019500,0.908700,idle,1
312439,0.015600,0.023400,0.908700,idle,1
312460,0.019500,0.019500,0.908700,idle,1
312480,0.015600,0.019500,0.908700,idle,1
312499,0.015600,0.019500,0.908700,idle,1
312519,0.019500,0.019500,0.912600,idle,1
312539,0.015600,0.023400,0.908700,idle,1
312560,0.015600,0.023400,0.908700,idle,1
312579,0.015600,0.019500,0.908700,idle,1
312599,0.019500,0.019500,0.908700,idle,1
312619,0.015600,0.023400,0.908700,idle,1
312639,0.015600,0.019500,0.904800,idle,1
312660,0.015600,0.019500,0.908700,idle,1
312679,0.019500,0.015600,0.912600,idle,1
312699,0.015600,0.019500,0.912600,idle,1
312719,0.015600,0.019500,0.908700,idle,1
312739,0.015600,0.027300,0.912600,idle,1
312760,0.015600,0.015600,0.908700,idle,1
312779,0.019500,0.023400,0.908700,idle,1
312799,0.015600,0.019500,0.908700,idle,1
312819,0.015600,0.023400,0.912600,idle,1
312840,0.015600,0.019500,0.908700,idle,1
312860,0.011700,0.027300,0.908700,idle,1
312880,0.015600,0.023400,0.912600,idle,1
312899,0.015600,0.019500,0.908700,idle,1
312919,0.015600,0.019500,0.908700,idle,1
312939,0.015600,0.019500,0.912600,idle,1
312960,0.015600,0.023400,0.908700,idle,1
312980,0.019500,0.019500,0.908700,idle,1
313000,0.015600,0.015600,0.904800,idle,1
313020,0.015600,0.019500,0.908700,idle,1
313039,0.011700,0.023400,0.908700,idle,1
313060,0.015600,0.019500,0.912600,idle,1
313080,0.015600,0.023400,0.912600,idle,1
313099,0.015600,0.019500,0.912600,idle,1
313119,0.011700,0.023400,0.908700,idle,1
313139,0.015600,0.023400,0.908700,idle,1
313160,0.015600,0.019500,0.904800,idle,1
313179,0.019500,0.023400,0.908700,idle,1
313201,0.015600,0.019500,0.908700,idle,1
313220,0.015600,0.019500,0.908700,idle,1
313240,0.019500,0.023400,0.908700,idle,1
313260,0.015600,0.023400,0.912600,idle,1
313279,0.015600,0.019500,0.908700,idle,1
313300,0.015600,0.019500,0.908700,idle,1
