timestamp,ax,ay,az,label,trial_id
825400,0.015600,0.015600,0.912600,tap1,4
825416,0.015600,0.011700,0.912600,tap1,4
825432,0.015600,0.015600,0.912600,tap1,4
825448,0.015600,0.015600,0.908700,tap1,4
825466,0.015600,0.011700,0.912600,tap1,4
825483,0.015600,0.015600,0.912600,tap1,4
825499,0.011700,0.015600,0.912600,tap1,4
825515,-0.374400,0.191100,0.830700,tap1,4
825531,0.039000,-0.027300,0.924300,tap1,4
825547,0.078000,0.062400,0.842400,tap1,4
825567,0.011700,0.015600,0.912600,tap1,4
825585,0.015600,0.015600,0.908700,tap1,4
825605,0.015600,0.019500,0.924300,tap1,4
825625,0.015600,0.011700,0.908700,tap1,4
825645,0.015600,0.011700,0.912600,tap1,4
825666,0.019500,0.015600,0.916500,tap1,4
825685,0.015600,0.015600,0.908700,tap1,4
825705,0.015600,0.015600,0.908700,tap1,4
825725,0.015600,0.015600,0.916500,tap1,4
825745,0.015600,0.015600,0.912600,tap1,4
825765,0.015600,0.015600,0.912600,tap1,4
825785,0.015600,0.015600,0.916500,tap1,4
825805,0.011700,0.015600,0.908700,tap1,4
825825,0.019500,0.015600,0.908700,tap1,4
825845,0.019500,0.011700,0.912600,tap1,4
825865,0.011700,0.019500,0.908700,tap1,4
825885,0.015600,0.011700,0.920400,tap1,4
825905,0.015600,0.011700,0.908700,tap1,4
825925,0.019500,0.015600,0.908700,tap1,4
825945,0.015600,0.015600,0.916500,tap1,4
825965,0.019500,0.015600,0.908700,tap1,4
825986,0.015600,0.019500,0.912600,tap1,4
826006,0.015600,0.011700,0.912600,tap1,4
826026,0.015600,0.011700,0.908700,tap1,4
826046,0.015600,0.015600,0.908700,tap1,4
826066,0.015600,0.011700,0.912600,tap1,4
826086,0.019500,0.015600,0.908700,tap1,4
826106,0.015600,0.015600,0.916500,tap1,4
826126,0.015600,0.015600,0.908700,tap1,4
826146,0.015600,0.019500,0.912600,tap1,4
826166,0.015600,0.015600,0.912600,tap1,4
826187,0.015600,0.015600,0.908700,tap1,4
826206,0.015600,0.015600,0.908700,tap1,4
826226,0.015600,0.015600,0.908700,tap1,4
826246,0.015600,0.015600,0.912600,tap1,4
826266,0.015600,0.011700,0.908700,tap1,4
826287,0.015600,0.015600,0.916500,tap1,4
826306,0.015600,0.015600,0.912600,tap1,4
826326,0.015600,0.015600,0.908700,tap1,4
826346,0.015600,0.015600,0.912600,tap1,4
